   ,SPECIES_ID,SPECIES_NAME,ALPHA_CODE,Download,TAXONOMIC_ORDER,SCI_NAME,RECOMENDSIZE,ALLOWABLESIZE,ENDANGERED,RAPTOR,GAMEBIRD
1037,8700,Bridled White-eye,BRWE,7,815,Zosterops conspicillatus,"0A, 0","0A, 0",Y,,
1038,8710,Golden White-eye,GOWE,7,813,Cleptornis marchei,"1B, 1","1B, 1",,,
1039,8720,Micronesian Starling,MIST,7,870,Aplonis opaca,"3, 2","3, 2, 3A, 3B",,,
1046,8810,Rota White-eye,ROWE,7,814,Zosterops rotensis,0,0,Y,,
1055,9109,Southern House Wren,SHWR,7,783,Troglodytes aedon musculus,0,0,,,
1056,9116,Brown Trembler,BRTR,7,857,Cinclocerthia ruficauda,"2, 1D","2, 1D",,,
1057,9120,White-eyed Thrush,WETH,7,848,Turdus jamaicensis,2,2,,,
1058,9122,White-chinned Thrush,WCTH,7,851,Turdus aurantius,2,2,,,
1059,9127,Rufous-throated Solitaire,RTSO,7,830,Myadestes genibarbis,"1, 1B, 1C","1, 1B, 1C",,,
657,5340,Snow Bunting,SNBU,8,899,Plectrophenax nivalis,"1A, 1B","1A, 1B, 1",,,
658,5350,McKay's Bunting,MKBU,8,900,Plectrophenax hyperboreus,"1B, 1A","1B, 1A",,,
660,5360,Lapland Longspur,LALO,8,895,Calcarius lapponicus,"1, 1B","1, 1B, 1C",,,
661,5370,Smith's Longspur,SMLO,8,897,Calcarius pictus,"1, 1C","1, 1C, 1B",,,
662,5380,Chestnut-collared Longspur,CCLO,8,896,Calcarius ornatus,"1, 1C","1, 1C, 1B","Alberta, Manitoba, Saskatchewan",,
663,5390,McCown's Longspur,MCLO,8,898,Rhynchophanes mccownii,"1, 1C","1, 1C, 1B","Alberta, Saskatchewan",,
799,6360,Black-and-white Warbler,BAWW,8,910,Mniotilta varia,"0, 0A, 1C, 1","0, 0A, 1C, 1",,,
800,6366,Hybrid Warbler,HYWA,8,971,,"0, 0A, 1","0, 0A, 1",,,
801,6370,Prothonotary Warbler,PROW,8,911,Protonotaria citrea,0,"0, 0A, 1, 1C",Ontario,,
802,6380,Swainson's Warbler,SWWA,8,912,Limnothlypis swainsonii,"1, 1C, 0","1, 1C, 0, 0A",,,
803,6390,Worm-eating Warbler,WEWA,8,902,Helmitheros vermivorum,"1C, 0, 1","1C, 0, 1, 0A",,,
804,6410,Blue-winged Warbler,BWWA,8,906,Vermivora cyanoptera,"0A, 0","0A, 0",,,
805,6412,Brewster's Warbler,BRWA,8,907,,"0A, 0","0A, 0",,,
806,6413,Lawrence's Warbler,LAWA,8,908,,"0A, 0","0A, 0",,,
807,6416,Golden-winged x Blue-winged Warbler Hybrid,GBWH,8,909,,"0A, 0","0A, 0",,,
808,6420,Golden-winged Warbler,GWWA,8,905,Vermivora chrysoptera,"0A, 0","0A, 0","Manitoba, Ontario, Québec",,
809,6430,Lucy's Warbler,LUWA,8,916,Leiothlypis luciae,"0A, 0","0A, 0",,,
810,6440,Virginia's Warbler,VIWA,8,918,Leiothlypis virginiae,"0A, 0","0A, 0",,,
811,6450,Nashville Warbler,NAWA,8,917,Leiothlypis ruficapilla,"0A, 0","0A, 0",,,
812,6460,Orange-crowned Warbler,OCWA,8,914,Leiothlypis celata,"0, 0A","0, 0A",,,
813,6470,Tennessee Warbler,TEWA,8,913,Leiothlypis peregrina,"0A, 0","0A, 0",,,
814,6471,Colima Warbler,COLW,8,915,Leiothlypis crissalis,"0, 1, 1C","0, 1, 1C",,,
815,6480,Northern Parula,NOPA,8,933,Setophaga americana,"0A, 0","0A, 0",,,
816,6490,Tropical Parula,TRPA,8,934,Setophaga pitiayumi,0A,0A,,,
817,6500,Cape May Warbler,CMWA,8,931,Setophaga tigrina,"0, 0A, 1C, 1","0, 0A, 1C, 1",,,
819,6520,Yellow Warbler,YEWA,8,938,Setophaga petechia,"0, 0A, 1C, 1","0, 0A, 1C, 1",,,
820,6540,Black-throated Blue Warbler,BTBW,8,941,Setophaga caerulescens,"0, 0A","0, 0A",,,
821,6550,Myrtle Warbler,MYWA,8,946,Setophaga coronata coronata,"0, 1C, 0A, 1","0, 1C, 0A, 1",,,
822,6556,Unknown Yellow-rumped Warbler,UYRW,8,947,Setophaga coronata,"0, 1C, 0A, 1","0, 1C, 0A, 1",,,
823,6560,Audubon's Warbler,AUWA,8,948,Setophaga auduboni auduboni,"0, 1C, 0A, 1","0, 1C, 0A, 1",,,
824,6570,Magnolia Warbler,MAWA,8,935,Setophaga magnolia,"0A, 0","0A, 0, 1C",,,
825,6580,Cerulean Warbler,CERW,8,932,Setophaga cerulea,"0A, 0","0A, 0","Ontario, Québec",,
826,6581,Elfin-woods Warbler,EWWA,8,926,Setophaga angelae,0,0,,,
827,6590,Chestnut-sided Warbler,CSWA,8,939,Setophaga pensylvanica,"0A, 0","0A, 0, 1C",,,
828,6600,Bay-breasted Warbler,BBWA,8,936,Setophaga castanea,"0, 1C, 0A, 1","0, 1C, 0A, 1",,,
829,6610,Blackpoll Warbler,BLPW,8,940,Setophaga striata,"0, 1C, 0A, 1","0, 1C, 0A, 1",,,
